minuto,time,tipo,jogador,assist,placar_momento,descricao,Resultado,Data
46,Sao Paulo,18,Sabino,,,Sabino is substituted off,0 : 0,"Sat, 29-Mar-25"
46,Sao Paulo,19,Ferreira,,,Ferreira is substituted on,0 : 0,"Sat, 29-Mar-25"
46,Sao Paulo,18,Wendell,,,Wendell is substituted off,0 : 0,"Sat, 29-Mar-25"
46,Sao Paulo,19,Enzo Díaz,,,Enzo Díaz is substituted on,0 : 0,"Sat, 29-Mar-25"
59,Sport Recife,17,Lucas Lima,,,Lucas Lima recieves a yellow card,0 : 0,"Sat, 29-Mar-25"
62,Sport Recife,18,Lenny Lobato,,,Lenny Lobato is substituted off,0 : 0,"Sat, 29-Mar-25"
62,Sport Recife,19,Carlos Alberto,,,Carlos Alberto is substituted on,0 : 0,"Sat, 29-Mar-25"
62,Sport Recife,18,Pablo,,,Pablo is substituted off,0 : 0,"Sat, 29-Mar-25"
62,Sport Recife,19,Arthur Sousa,,,Arthur Sousa is substituted on,0 : 0,"Sat, 29-Mar-25"
69,Sao Paulo,18,Luciano,,,Luciano is substituted off,0 : 0,"Sat, 29-Mar-25"
69,Sao Paulo,19,Lucas Ferreira,,,Lucas Ferreira is substituted on,0 : 0,"Sat, 29-Mar-25"
69,Sao Paulo,18,Marcos Antônio,,,Marcos Antônio is substituted off,0 : 0,"Sat, 29-Mar-25"
69,Sao Paulo,19,Matheus Alves,,,Matheus Alves is substituted on,0 : 0,"Sat, 29-Mar-25"
75,Sao Paulo,18,Jonathan Calleri,,,Jonathan Calleri is substituted off,0 : 0,"Sat, 29-Mar-25"
