Name,Age,Position,Shots,SoT,KeyPasses,PassAccuracy,AerialsWon,Touches,Rating,TackleWon,Interception,Clearance,ShotBlocked,Fouls,PassCrossTotal,PassCrossAccurate,PassLongBallTotal,PassLongBallAccurate,PassThroughBallTotal,PassThroughBallAccurate,DribbleWon,FoulGiven,OffsideGiven,Dispossessed,Turnover,Time,Adversário,Data,Mandante,IdJogador,IdJogo,ID
Rodriguinho,23,Sub,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cruzeiro,Mirassol,2025-03-29,True,Rodriguinho - Cruzeiro,Cruzeiro x Mirassol,Cruzeiro x Mirassol2025
Alex Muralha,37,GK,0,0,0,72.0,0,29,5.62,0,0,2,0,0,0,0,8,2,0,0,0,0,0,0,0,Mirassol,Cruzeiro,2025-03-29,False,Alex Muralha - Mirassol,Cruzeiro x Mirassol,Cruzeiro x Mirassol2025
Lucas Ramon,33,DR,1,1,1,78.7,1,78,7.98,2,7,0,0,2,2,1,5,3,0,0,0,4,0,1,1,Mirassol,Cruzeiro,2025-03-29,False,Lucas Ramon - Mirassol,Cruzeiro x Mirassol,Cruzeiro x Mirassol2025
João Victor,29,DC,0,0,0,88.9,2,60,6.02,0,0,2,1,1,0,0,2,0,0,0,0,0,0,0,0,Mirassol,Cruzeiro,2025-03-29,False,João Victor - Mirassol,Cruzeiro x Mirassol,Cruzeiro x Mirassol2025
Jemmes,26,DC,2,0,0,87.9,2,67,6.04,1,1,2,0,4,0,0,8,5,0,0,0,0,1,0,0,Mirassol,Cruzeiro,2025-03-29,False,Jemmes - Mirassol,Cruzeiro x Mirassol,Cruzeiro x Mirassol2025
Reinaldo,37,DL,1,1,1,78.6,0,74,5.94,3,0,4,0,1,4,1,6,1,0,0,2,0,0,0,3,Mirassol,Cruzeiro,2025-03-29,False,Reinaldo - Mirassol,Cruzeiro x Mirassol,Cruzeiro x Mirassol2025
Danielzinho,32,DMC,2,1,3,88.7,1,86,7.3,2,3,0,0,2,2,0,3,3,0,0,0,2,0,0,1,Mirassol,Cruzeiro,2025-03-29,False,Danielzinho - Mirassol,Cruzeiro x Mirassol,Cruzeiro x Mirassol2025
Neto Moura,30,DMC,1,0,1,82.5,0,65,6.33,2,1,1,0,1,0,0,7,4,0,0,0,1,0,0,1,Mirassol,Cruzeiro,2025-03-29,False,Neto Moura - Mirassol,Cruzeiro x Mirassol,Cruzeiro x Mirassol2025
Everton Maceió,23,AMR,0,0,1,60.0,1,17,6.2,1,0,0,0,1,0,0,0,0,0,0,0,2,1,0,1,Mirassol,Cruzeiro,2025-03-29,False,Everton Maceió - Mirassol,Cruzeiro x Mirassol,Cruzeiro x Mirassol2025
Chico,35,AMC,1,1,1,88.2,1,31,6.5,2,1,0,0,1,2,0,2,2,0,0,0,1,0,2,1,Mirassol,Cruzeiro,2025-03-29,False,Chico - Mirassol,Cruzeiro x Mirassol,Cruzeiro x Mirassol2025
Clayson,32,AML,3,1,2,79.0,0,52,7.9,1,0,0,0,3,6,3,2,1,0,0,7,3,0,1,5,Mirassol,Cruzeiro,2025-03-29,False,Clayson - Mirassol,Cruzeiro x Mirassol,Cruzeiro x Mirassol2025
Iury Castilho,31,FW,0,0,0,87.5,0,14,6.28,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,Mirassol,Cruzeiro,2025-03-29,False,Iury Castilho - Mirassol,Cruzeiro x Mirassol,Cruzeiro x Mirassol2025
José Aldo,28,Sub,0,0,1,89.5,0,30,6.64,3,2,0,0,1,0,0,2,2,0,0,0,1,0,2,0,Mirassol,Cruzeiro,2025-03-29,False,José Aldo - Mirassol,Cruzeiro x Mirassol,Cruzeiro x Mirassol2025
Matheus Davó,27,Sub,1,0,0,66.7,0,6,6.16,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,Mirassol,Cruzeiro,2025-03-29,False,Matheus Davó - Mirassol,Cruzeiro x Mirassol,Cruzeiro x Mirassol2025
Luiz Filipe,25,Sub,1,0,0,63.6,0,15,6.05,0,0,0,0,2,0,0,1,0,0,0,1,0,0,1,0,Mirassol,Cruzeiro,2025-03-29,False,Luiz Filipe - Mirassol,Cruzeiro x Mirassol,Cruzeiro x Mirassol2025
Edson Carioca,29,Sub,3,1,0,50.0,0,19,6.31,2,0,0,0,1,0,0,0,0,0,0,2,0,0,0,4,Mirassol,Cruzeiro,2025-03-29,False,Edson Carioca - Mirassol,Cruzeiro x Mirassol,Cruzeiro x Mirassol2025
Fabrício Daniel,29,Sub,0,0,1,50.0,0,13,6.06,0,0,0,0,1,0,0,1,1,1,1,0,0,0,3,0,Mirassol,Cruzeiro,2025-03-29,False,Fabrício Daniel - Mirassol,Cruzeiro x Mirassol,Cruzeiro x Mirassol2025
Daniel Borges,34,Sub,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mirassol,Cruzeiro,2025-03-29,False,Daniel Borges - Mirassol,Cruzeiro x Mirassol,Cruzeiro x Mirassol2025
Thomazella,36,Sub,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mirassol,Cruzeiro,2025-03-29,False,Thomazella - Mirassol,Cruzeiro x Mirassol,Cruzeiro x Mirassol2025
Gustavo Lacerda,22,Sub,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mirassol,Cruzeiro,2025-03-29,False,Gustavo Lacerda - Mirassol,Cruzeiro x Mirassol,Cruzeiro x Mirassol2025
Wesley Santos,22,Sub,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mirassol,Cruzeiro,2025-03-29,False,Wesley Santos - Mirassol,Cruzeiro x Mirassol,Cruzeiro x Mirassol2025
Tiago Volpi,36,GK,0,0,0,63.2,2,54,8.33,0,0,2,0,0,0,0,25,11,0,0,0,0,0,0,0,Gremio,Atletico MG,2025-03-29,True,Tiago Volpi - Gremio,Gremio x Atletico MG,Gremio x Atletico MG2025
Igor,22,DR,0,0,0,64.3,1,31,7.0,1,2,2,2,2,0,0,4,2,0,0,0,0,0,0,1,Gremio,Atletico MG,2025-03-29,True,Igor - Gremio,Gremio x Atletico MG,Gremio x Atletico MG2025
Wagner Leonardo,27,DC,0,0,1,83.3,4,47,7.54,3,1,12,0,2,0,0,4,1,0,0,0,0,0,0,0,Gremio,Atletico MG,2025-03-29,True,Wagner Leonardo - Gremio,Gremio x Atletico MG,Gremio x Atletico MG2025
Jemerson,34,DC,0,0,0,90.0,2,25,6.32,0,1,4,0,2,0,0,3,2,0,0,0,0,0,0,0,Gremio,Atletico MG,2025-03-29,True,Jemerson - Gremio,Gremio x Atletico MG,Gremio x Atletico MG2025
Lucas Esteves,26,DL,1,0,1,78.3,2,41,7.22,1,0,2,0,0,2,0,2,1,0,0,2,1,0,0,0,Gremio,Atletico MG,2025-03-29,True,Lucas Esteves - Gremio,Gremio x Atletico MG,Gremio x Atletico MG2025
Mathías Villasanti,30,DMC,0,0,1,84.6,0,41,6.89,3,1,4,0,2,0,0,1,0,0,0,1,0,0,0,0,Gremio,Atletico MG,2025-03-29,True,Mathías Villasanti - Gremio,Gremio x Atletico MG,Gremio x Atletico MG2025
Camilo,28,DMC,2,0,0,66.7,2,47,6.6,3,1,3,2,4,0,0,1,0,0,0,0,0,0,1,2,Gremio,Atletico MG,2025-03-29,True,Camilo - Gremio,Gremio x Atletico MG,Gremio x Atletico MG2025
Cristian Olivera,24,AMR,0,0,0,76.5,0,38,6.4,2,1,0,0,4,2,1,2,0,0,0,1,1,0,2,3,Gremio,Atletico MG,2025-03-29,True,Cristian Olivera - Gremio,Gremio x Atletico MG,Gremio x Atletico MG2025
Edenílson,37,AMC,1,1,4,82.6,0,37,7.67,0,0,1,1,1,1,1,1,1,0,0,1,0,0,2,2,Gremio,Atletico MG,2025-03-29,True,Edenílson - Gremio,Gremio x Atletico MG,Gremio x Atletico MG2025





























































































































































































































































































































































































































































































