Time,Adversário,IdJogo,Jogo,Mandante,Gols Feitos,Gols Sofridos,Resultado,Vencedor,Data;;;;
Sao Paulo,Sport Recife,Sao Paulo x Sport Recife2025,Sao Paulo x Sport Recife,True,0,0,0-0,Empate,2025-03-29;;;;
Sport Recife,Sao Paulo,Sao Paulo x Sport Recife2025,Sao Paulo x Sport Recife,False,0,0,0-0,Empate,2025-03-29;;;;
Cruzeiro,Mirassol,Cruzeiro x Mirassol2025,Cruzeiro x Mirassol,True,2,1,2-1,Cruzeiro,2025-03-29;;;;
Mirassol,Cruzeiro,Cruzeiro x Mirassol2025,Cruzeiro x Mirassol,False,1,2,2-1,Cruzeiro,2025-03-29;;;;
Gremio,Atletico MG,Gremio x Atletico MG2025,Gremio x Atletico MG,True,2,1,2-1,Gremio,2025-03-29;;;;
Atletico MG,Gremio,Gremio x Atletico MG2025,Gremio x Atletico MG,False,1,2,2-1,Gremio,2025-03-29;;;;
Fortaleza,Fluminense,Fortaleza x Fluminense2025,Fortaleza x Fluminense,True,2,0,2-0,Fortaleza,2025-03-29;;;;
Fluminense,Fortaleza,Fortaleza x Fluminense2025,Fortaleza x Fluminense,False,0,2,2-0,Fortaleza,2025-03-29;;;;
Juventude,Vitoria,Juventude x Vitoria2025,Juventude x Vitoria,True,2,0,2-0,Juventude,2025-03-29;;;;
Vitoria,Juventude,Juventude x Vitoria2025,Juventude x Vitoria,False,0,2,2-0,Juventude,2025-03-29;;;;
Flamengo,Internacional,Flamengo x Internacional2025,Flamengo x Internacional,True,1,1,1-1,Empate,2025-03-30;;;;
Internacional,Flamengo,Flamengo x Internacional2025,Flamengo x Internacional,False,1,1,1-1,Empate,2025-03-30;;;;
Palmeiras,Botafogo RJ,Palmeiras x Botafogo RJ2025,Palmeiras x Botafogo RJ,True,0,0,0-0,Empate,2025-03-30;;;;
Botafogo RJ,Palmeiras,Palmeiras x Botafogo RJ2025,Palmeiras x Botafogo RJ,False,0,0,0-0,Empate,2025-03-30;;;;
Vasco da Gama,Santos FC,Vasco da Gama x Santos FC2025,Vasco da Gama x Santos FC,True,2,1,2-1,Vasco da Gama,2025-03-30;;;;
